,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
410,9.0,16.0,3,Fashion,1,Single,2,0,7.0,199.8,No Churn
411,18.0,13.0,3,Fashion,5,Married,3,0,0.0,197.24,No Churn
412,0.0,8.0,3,Laptop & Accessory,1,Married,1,0,2.0,142.27,No Churn
415,3.0,13.0,5,Mobile Phone,4,Married,3,0,1.0,153.04,No Churn
416,4.0,25.0,4,Mobile Phone,3,Single,3,0,5.0,151.32,No Churn
417,11.0,7.0,5,Laptop & Accessory,3,Married,3,0,8.0,184.93,No Churn
418,1.0,29.0,4,Mobile Phone,3,Divorced,6,1,2.0,146.32,Churn
419,16.0,30.0,3,Fashion,5,Single,7,1,2.0,204.48,Churn
420,7.0,16.0,1,Laptop & Accessory,1,Married,2,0,2.0,147.24,No Churn
421,5.0,19.0,4,Mobile Phone,1,Married,10,1,3.0,164.29,No Churn
422,1.0,25.0,4,Laptop & Accessory,3,Divorced,2,1,3.0,171.14,Churn
423,4.0,10.0,4,Mobile Phone,3,Married,3,0,1.0,145.83,No Churn
426,8.0,10.0,3,Laptop & Accessory,3,Single,2,1,1.0,142.49,No Churn
429,5.0,12.0,3,Laptop & Accessory,3,Single,2,0,7.0,150.1,No Churn
430,0.0,26.0,3,Fashion,3,Married,4,0,0.0,198.24,Churn
431,1.0,19.0,5,Mobile Phone,5,Married,3,0,1.0,145.33,Churn
433,2.0,9.0,3,Laptop & Accessory,3,Divorced,2,0,2.0,155.61,No Churn
434,11.0,9.0,3,Laptop & Accessory,3,Single,4,1,2.0,143.17,No Churn
435,11.0,7.0,4,Fashion,1,Married,4,1,3.0,261.03,No Churn
436,15.0,8.0,3,Mobile,3,Married,1,1,0.0,126.96,No Churn
437,4.0,34.0,4,Laptop & Accessory,2,Married,9,0,8.0,178.04,No Churn
438,19.0,9.0,4,Laptop & Accessory,4,Married,2,0,8.0,173.05,No Churn
440,10.0,13.0,3,Fashion,3,Single,5,0,2.0,236.64,No Churn
441,3.0,16.0,4,Mobile Phone,3,Married,11,0,3.0,154.74,No Churn
442,7.0,30.0,4,Fashion,1,Single,3,1,13.0,259.58,No Churn
443,21.0,12.0,4,Others,3,Married,6,0,2.0,308.0,No Churn
444,19.0,8.0,3,Grocery,3,Married,7,0,1.0,278.61,No Churn
445,4.0,9.0,5,Laptop & Accessory,1,Married,3,0,9.0,166.52,No Churn
446,21.0,9.0,4,Laptop & Accessory,4,Married,9,0,1.0,174.78,No Churn
447,1.0,36.0,6,Laptop & Accessory,5,Single,10,0,3.0,174.69,Churn
448,19.0,24.0,3,Laptop & Accessory,3,Married,3,0,8.0,148.1,No Churn
449,51.0,7.0,2,Laptop & Accessory,3,Divorced,2,0,9.0,174.0,No Churn
450,13.0,8.0,1,Laptop & Accessory,4,Divorced,2,0,7.0,142.44,No Churn
451,8.0,31.0,4,Laptop & Accessory,2,Single,5,0,2.0,136.81,No Churn
453,15.0,32.0,3,Grocery,4,Married,6,0,8.0,235.25,No Churn
454,1.0,7.0,4,Mobile Phone,3,Single,2,0,6.0,145.58,Churn
455,0.0,11.0,3,Mobile Phone,1,Single,2,0,0.0,110.51,No Churn
456,8.0,22.0,4,Fashion,4,Single,2,0,3.0,186.06,No Churn
457,22.0,13.0,3,Fashion,4,Married,4,0,7.0,204.66,No Churn
459,9.0,15.0,4,Laptop & Accessory,3,Married,3,0,10.0,166.48,No Churn
461,12.0,17.0,3,Fashion,2,Divorced,2,0,7.0,176.54,Churn
462,19.0,14.0,4,Mobile Phone,3,Divorced,6,1,3.0,169.77,No Churn
463,19.0,27.0,4,Laptop & Accessory,3,Single,10,0,2.0,173.5,No Churn
464,26.0,13.0,1,Grocery,3,Married,4,0,3.0,248.14,No Churn
465,20.0,10.0,4,Fashion,4,Married,9,1,10.0,203.33,No Churn
466,9.0,14.0,4,Mobile Phone,3,Married,3,0,1.0,149.04,No Churn
468,17.0,30.0,5,Mobile Phone,3,Single,3,0,4.0,137.08,No Churn
469,8.0,17.0,4,Mobile Phone,3,Single,3,1,3.0,154.36,Churn
471,1.0,22.0,4,Mobile Phone,1,Single,3,0,1.0,137.32,No Churn
472,12.0,24.0,3,Laptop & Accessory,3,Single,1,0,7.0,145.34,No Churn
473,9.0,7.0,4,Fashion,4,Divorced,3,0,7.0,197.95,No Churn
475,4.0,9.0,4,Mobile Phone,4,Married,3,0,1.0,149.76,No Churn
476,29.0,8.0,2,Grocery,1,Married,4,0,1.0,272.32,No Churn
477,1.0,14.0,4,Mobile Phone,3,Divorced,3,1,3.0,153.86,Churn
478,20.0,20.0,4,Laptop & Accessory,4,Single,8,0,10.0,180.62,No Churn
480,10.0,7.0,4,Laptop & Accessory,1,Married,2,0,11.0,164.74,No Churn
481,1.0,7.0,4,Laptop & Accessory,4,Divorced,2,1,5.0,188.49,No Churn
483,4.0,30.0,4,Laptop & Accessory,5,Single,2,0,8.0,168.12,No Churn
484,4.0,11.0,3,Laptop & Accessory,3,Married,2,0,2.0,183.46,No Churn
485,10.0,6.0,4,Laptop & Accessory,3,Married,2,0,7.0,159.93,No Churn
486,13.0,7.0,3,Grocery,5,Married,3,0,16.0,268.23,No Churn
487,1.0,17.0,5,Mobile Phone,5,Single,8,1,1.0,149.04,Churn
488,8.0,6.0,3,Fashion,4,Married,2,0,6.0,172.95,No Churn
490,1.0,16.0,4,Mobile Phone,2,Single,3,0,3.0,151.1,No Churn
491,15.0,15.0,3,Mobile Phone,1,Single,2,0,8.0,136.73,No Churn
493,30.0,7.0,4,Mobile Phone,5,Divorced,4,0,1.0,145.66,No Churn
494,1.0,25.0,2,Laptop & Accessory,3,Married,4,0,3.0,187.32,No Churn
495,1.0,16.0,4,Mobile Phone,5,Single,3,0,3.0,152.28,No Churn
496,20.0,10.0,4,Grocery,3,Married,5,0,10.0,299.65,No Churn
497,0.0,18.0,3,Laptop & Accessory,1,Single,4,1,7.0,145.81,Churn
498,1.0,23.0,4,Mobile Phone,4,Married,4,1,3.0,148.73,Churn
499,6.0,22.0,3,Laptop & Accessory,1,Married,2,1,2.0,153.68,No Churn
500,17.0,13.0,5,Laptop & Accessory,3,Single,3,1,9.0,165.81,No Churn
501,7.0,9.0,4,Mobile Phone,1,Single,2,0,3.0,150.0,No Churn
503,13.0,7.0,3,Laptop & Accessory,1,Married,5,0,3.0,165.13,No Churn
505,0.0,8.0,4,Mobile Phone,1,Single,2,0,0.0,111.02,Churn
506,16.0,33.0,3,Fashion,5,Divorced,9,0,1.0,208.2,No Churn
508,17.0,17.0,5,Laptop & Accessory,3,Married,3,0,1.0,177.57,No Churn
509,9.0,7.0,6,Mobile Phone,1,Married,3,0,2.0,154.77,No Churn
510,14.0,16.0,4,Mobile Phone,4,Married,10,1,1.0,161.17,No Churn
512,9.0,23.0,4,Laptop & Accessory,4,Married,3,0,3.0,155.07,No Churn
513,8.0,9.0,4,Laptop & Accessory,3,Single,4,0,3.0,165.33,No Churn
514,7.0,7.0,3,Fashion,1,Single,2,0,1.0,198.88,No Churn
515,1.0,30.0,5,Fashion,5,Married,3,0,11.0,198.36,Churn
516,19.0,33.0,5,Laptop & Accessory,5,Married,3,0,6.0,168.85,No Churn
517,1.0,33.0,4,Laptop & Accessory,1,Married,3,1,9.0,181.17,Churn
519,6.0,20.0,3,Mobile,4,Married,2,0,6.0,127.56,No Churn
520,13.0,12.0,3,Grocery,3,Single,8,0,13.0,232.37,No Churn
521,13.0,8.0,1,Laptop & Accessory,3,Married,6,0,8.0,163.77,No Churn
523,10.0,20.0,4,Mobile Phone,4,Divorced,5,0,5.0,146.43,No Churn
524,1.0,30.0,5,Laptop & Accessory,3,Married,3,0,9.0,160.4,No Churn
526,8.0,31.0,4,Fashion,4,Married,4,0,8.0,209.03,No Churn
527,6.0,11.0,4,Mobile Phone,4,Divorced,4,0,3.0,164.31,No Churn
529,17.0,32.0,5,Fashion,1,Married,7,0,1.0,232.98,No Churn
530,22.0,11.0,5,Fashion,3,Single,9,0,9.0,234.99,No Churn
531,8.0,16.0,3,Mobile Phone,2,Married,2,0,2.0,139.17,No Churn
533,21.0,10.0,3,Fashion,1,Single,2,0,8.0,178.98,No Churn
534,0.0,16.0,4,Fashion,5,Married,10,0,0.0,203.06,Churn
535,0.0,9.0,3,Laptop & Accessory,3,Married,1,0,2.0,149.99,No Churn
536,0.0,7.0,4,Laptop & Accessory,3,Single,2,0,2.0,146.17,No Churn
537,16.0,12.0,4,Others,3,Divorced,8,0,1.0,308.03,No Churn
538,13.0,17.0,4,Fashion,3,Single,9,0,3.0,259.64,No Churn
540,19.0,32.0,4,Others,4,Single,5,0,1.0,305.61,No Churn
542,1.0,28.0,2,Mobile Phone,2,Single,3,0,3.0,151.78,No Churn
543,24.0,7.0,4,Others,4,Married,5,1,8.0,306.72,No Churn
545,18.0,15.0,2,Mobile Phone,2,Divorced,4,1,3.0,153.18,No Churn
547,16.0,11.0,4,Others,2,Divorced,3,0,16.0,317.32,No Churn
548,5.0,15.0,4,Fashion,1,Married,3,0,10.0,232.93,No Churn
550,10.0,9.0,4,Laptop & Accessory,4,Married,6,1,1.0,194.62,No Churn
551,0.0,9.0,4,Mobile,3,Single,2,0,0.0,132.3,No Churn
552,20.0,14.0,4,Fashion,3,Married,8,0,8.0,233.45,No Churn
553,3.0,9.0,4,Mobile Phone,4,Married,2,0,5.0,152.03,No Churn
554,3.0,17.0,5,Laptop & Accessory,3,Single,11,0,5.0,183.69,No Churn
555,16.0,15.0,4,Mobile Phone,3,Single,6,0,1.0,164.68,No Churn
557,11.0,36.0,4,Fashion,4,Divorced,3,1,10.0,243.49,Churn
558,16.0,9.0,4,Grocery,5,Married,2,0,8.0,301.65,No Churn
559,1.0,7.0,2,Fashion,4,Single,3,0,8.0,199.46,Churn
560,1.0,7.0,4,Fashion,5,Divorced,3,0,8.0,199.12,No Churn
561,15.0,12.0,2,Mobile Phone,3,Divorced,4,1,4.0,146.27,No Churn
562,5.0,11.0,3,Laptop & Accessory,4,Divorced,2,0,3.0,165.24,No Churn
564,1.0,9.0,4,Laptop & Accessory,3,Single,3,1,5.0,169.78,No Churn
565,8.0,22.0,4,Laptop & Accessory,5,Single,3,0,7.0,186.25,No Churn
566,1.0,11.0,5,Mobile Phone,1,Married,2,0,5.0,156.62,No Churn
567,1.0,15.0,5,Mobile Phone,4,Single,3,0,1.0,137.61,Churn
568,1.0,24.0,4,Mobile Phone,3,Married,2,1,1.0,152.41,Churn
569,22.0,9.0,4,Laptop & Accessory,5,Divorced,5,0,2.0,147.89,No Churn
570,1.0,7.0,5,Mobile Phone,3,Married,3,0,4.0,145.07,No Churn
573,9.0,24.0,3,Laptop & Accessory,2,Single,3,0,9.0,177.79,No Churn
574,10.0,19.0,4,Laptop & Accessory,3,Married,11,1,2.0,171.63,No Churn
576,0.0,28.0,4,Mobile,4,Married,2,0,0.0,128.63,Churn
577,5.0,7.0,5,Mobile Phone,5,Married,3,0,3.0,147.18,No Churn
578,1.0,35.0,5,Laptop & Accessory,5,Single,5,0,4.0,167.84,Churn
579,10.0,25.0,4,Mobile Phone,1,Single,3,0,8.0,146.53,No Churn
581,13.0,10.0,3,Others,3,Divorced,2,0,9.0,290.33,No Churn
582,5.0,18.0,4,Mobile Phone,1,Married,5,1,3.0,148.56,No Churn
583,31.0,10.0,2,Mobile Phone,5,Married,6,1,1.0,151.7,No Churn
584,13.0,22.0,3,Mobile,3,Married,10,0,0.0,135.44,No Churn
585,1.0,15.0,4,Mobile Phone,3,Single,3,0,1.0,144.04,Churn
586,0.0,6.0,3,Mobile,1,Single,2,1,8.0,126.86,Churn
588,1.0,31.0,5,Mobile Phone,3,Single,7,1,4.0,145.28,Churn
590,18.0,16.0,4,Mobile Phone,5,Divorced,3,1,2.0,150.59,No Churn
591,13.0,25.0,4,Laptop & Accessory,3,Single,2,0,8.0,170.34,No Churn
592,23.0,6.0,3,Grocery,2,Married,10,0,3.0,273.99,No Churn
593,6.0,6.0,1,Laptop & Accessory,4,Divorced,2,1,2.0,154.88,No Churn
594,16.0,8.0,3,Mobile,1,Single,1,0,8.0,135.39,No Churn
595,5.0,9.0,4,Mobile Phone,3,Married,2,0,3.0,155.67,No Churn
596,1.0,15.0,5,Laptop & Accessory,5,Single,8,0,3.0,178.26,Churn
597,11.0,13.0,2,Laptop & Accessory,5,Married,6,1,8.0,184.74,No Churn
598,23.0,14.0,5,Fashion,3,Single,10,0,1.0,170.0,No Churn
599,1.0,36.0,4,Laptop & Accessory,3,Married,7,0,1.0,168.06,No Churn
600,4.0,30.0,3,Laptop & Accessory,1,Single,3,0,4.0,152.38,No Churn
604,3.0,9.0,4,Laptop & Accessory,3,Divorced,3,0,3.0,171.49,No Churn
605,30.0,21.0,3,Grocery,3,Married,3,1,2.0,257.87,No Churn
607,16.0,8.0,3,Laptop & Accessory,1,Married,2,0,7.0,156.75,No Churn
608,6.0,19.0,3,Mobile,2,Single,4,0,2.0,134.52,No Churn
609,13.0,15.0,3,Mobile Phone,4,Married,9,1,0.0,136.17,No Churn
611,31.0,10.0,5,Mobile Phone,2,Divorced,5,0,1.0,146.77,No Churn
612,1.0,16.0,4,Mobile Phone,5,Divorced,3,0,3.0,150.0,No Churn
613,11.0,28.0,4,Mobile Phone,2,Divorced,7,0,1.0,154.73,No Churn
614,16.0,33.0,1,Mobile Phone,4,Married,6,0,2.0,148.76,No Churn
615,25.0,7.0,5,Fashion,5,Single,5,0,9.0,199.84,No Churn
616,8.0,24.0,3,Fashion,1,Single,3,0,2.0,193.62,No Churn
617,4.0,13.0,3,Laptop & Accessory,2,Married,5,0,7.0,175.47,No Churn
618,2.0,8.0,4,Mobile Phone,1,Married,3,0,4.0,145.44,No Churn
619,24.0,6.0,3,Mobile,2,Divorced,2,0,0.0,127.23,No Churn
620,8.0,31.0,4,Mobile Phone,3,Married,5,1,1.0,156.61,Churn
621,14.0,16.0,3,Laptop & Accessory,2,Single,8,0,10.0,162.3,No Churn
623,12.0,9.0,4,Fashion,4,Single,9,0,1.0,198.51,No Churn
624,10.0,22.0,6,Laptop & Accessory,1,Married,3,0,12.0,179.06,No Churn
625,4.0,14.0,3,Fashion,2,Married,2,0,9.0,207.93,No Churn
626,10.0,9.0,4,Mobile Phone,3,Single,6,0,10.0,150.19,No Churn
628,0.0,16.0,3,Laptop & Accessory,5,Single,2,0,8.0,142.13,Churn
629,2.0,26.0,5,Mobile Phone,5,Divorced,3,0,4.0,156.96,No Churn
630,11.0,15.0,3,Mobile Phone,1,Married,3,0,3.0,147.71,No Churn
632,3.0,31.0,3,Laptop & Accessory,3,Divorced,8,1,2.0,147.36,No Churn
633,22.0,12.0,4,Grocery,3,Married,3,1,12.0,239.66000000000005,No Churn
634,1.0,13.0,4,Mobile Phone,5,Single,4,0,4.0,154.6,Churn
635,11.0,12.0,4,Laptop & Accessory,2,Married,9,0,5.0,188.47,No Churn
636,0.0,23.0,4,Laptop & Accessory,3,Married,2,0,2.0,143.77,No Churn
637,8.0,9.0,3,Fashion,2,Married,7,0,8.0,178.23,No Churn
639,15.0,14.0,2,Mobile Phone,3,Divorced,3,0,9.0,158.76,No Churn
640,0.0,6.0,4,Mobile Phone,3,Single,1,1,2.0,137.3,Churn
641,18.0,15.0,4,Laptop & Accessory,3,Married,2,0,12.0,155.93,No Churn
642,13.0,26.0,4,Laptop & Accessory,1,Married,10,0,3.0,164.02,No Churn
643,24.0,36.0,5,Grocery,3,Married,2,0,8.0,295.46,No Churn
644,9.0,8.0,3,Laptop & Accessory,4,Married,5,1,0.0,169.62,No Churn
645,12.0,36.0,4,Laptop & Accessory,2,Divorced,5,0,8.0,187.61,No Churn
647,0.0,26.0,3,Laptop & Accessory,3,Single,2,0,7.0,199.81,No Churn
648,0.0,11.0,4,Laptop & Accessory,3,Single,2,1,3.0,157.44,Churn
649,12.0,7.0,4,Mobile Phone,5,Single,5,0,1.0,151.19,No Churn
650,0.0,24.0,1,Laptop & Accessory,3,Married,3,0,2.0,162.32,No Churn
651,9.0,25.0,2,Laptop & Accessory,5,Married,3,0,11.0,177.08,No Churn
653,9.0,8.0,4,Fashion,3,Married,2,0,0.0,175.96,No Churn
656,5.0,6.0,3,Laptop & Accessory,5,Married,5,0,2.0,140.87,No Churn
657,11.0,6.0,3,Laptop & Accessory,1,Married,8,0,9.0,147.35,No Churn
659,19.0,9.0,5,Laptop & Accessory,1,Married,3,0,10.0,182.7,No Churn
660,0.0,13.0,3,Mobile,3,Married,4,1,7.0,133.39,Churn
661,3.0,6.0,4,Fashion,3,Single,2,0,8.0,184.74,No Churn
662,7.0,23.0,4,Laptop & Accessory,1,Married,3,1,3.0,178.68,No Churn
663,6.0,10.0,4,Laptop & Accessory,5,Married,3,0,4.0,192.25,No Churn
664,15.0,34.0,4,Laptop & Accessory,2,Divorced,1,0,4.0,145.23,No Churn
665,11.0,7.0,5,Mobile Phone,5,Married,4,0,3.0,164.2,No Churn
666,6.0,21.0,3,Laptop & Accessory,1,Married,1,1,1.0,12.0,No Churn
667,0.0,30.0,4,Fashion,5,Single,2,0,9.0,187.22,Churn
668,14.0,9.0,4,Laptop & Accessory,4,Married,5,0,11.0,181.77,No Churn
669,23.0,34.0,3,Grocery,5,Married,5,1,2.0,268.8,No Churn
670,27.0,30.0,4,Grocery,1,Single,8,0,9.0,267.75,No Churn
671,5.0,25.0,2,Mobile,3,Married,7,1,2.0,127.59,Churn
673,18.0,31.0,3,Others,4,Single,4,0,0.0,280.61,No Churn
674,1.0,6.0,3,Mobile Phone,5,Married,2,0,2.0,135.91,No Churn
675,8.0,16.0,3,Laptop & Accessory,3,Single,4,1,4.0,161.42,No Churn
676,15.0,18.0,3,Mobile,4,Married,9,0,4.0,127.66,No Churn
677,15.0,14.0,4,Laptop & Accessory,3,Single,8,0,2.0,175.03,No Churn
678,0.0,15.0,3,Mobile,5,Single,3,1,0.0,131.72,Churn
681,3.0,16.0,5,Mobile Phone,2,Single,2,0,3.0,164.83,No Churn
682,10.0,15.0,2,Fashion,5,Married,11,0,6.0,242.13,No Churn
683,1.0,14.0,4,Mobile Phone,4,Single,3,0,1.0,151.79,Churn
684,28.0,26.0,4,Fashion,4,Divorced,4,0,2.0,232.25,No Churn
685,3.0,13.0,3,Laptop & Accessory,3,Married,2,0,9.0,134.91,No Churn
687,2.0,16.0,4,Laptop & Accessory,1,Single,3,0,8.0,177.53,No Churn
689,8.0,34.0,1,Laptop & Accessory,3,Married,2,0,8.0,134.07,No Churn
690,10.0,7.0,4,Laptop & Accessory,1,Single,6,0,1.0,191.53,No Churn
691,31.0,14.0,2,Laptop & Accessory,1,Married,2,1,10.0,177.2,No Churn
692,1.0,15.0,3,Laptop & Accessory,2,Single,2,0,7.0,152.53,No Churn
694,8.0,28.0,5,Mobile Phone,3,Single,1,0,3.0,142.3,No Churn
695,10.0,31.0,3,Laptop & Accessory,3,Divorced,4,1,7.0,144.49,No Churn
696,14.0,7.0,5,Grocery,4,Married,3,0,12.0,260.03,No Churn
697,4.0,22.0,5,Fashion,5,Married,4,0,8.0,196.4,No Churn
698,2.0,9.0,4,Laptop & Accessory,4,Divorced,3,1,6.0,172.79,No Churn
699,4.0,24.0,4,Fashion,5,Divorced,3,1,9.0,244.16000000000005,No Churn
701,3.0,13.0,3,Laptop & Accessory,5,Married,8,0,2.0,147.79,No Churn
702,9.0,9.0,4,Fashion,1,Married,5,0,12.0,196.99,No Churn
704,10.0,9.0,5,Fashion,3,Married,3,0,1.0,200.96,No Churn
706,24.0,15.0,3,Others,4,Married,5,1,10.0,298.47,No Churn
710,0.0,8.0,3,Mobile Phone,1,Single,2,1,3.0,137.6,No Churn
711,24.0,7.0,4,Others,2,Married,5,0,7.0,320.17,No Churn
713,9.0,9.0,4,Fashion,2,Divorced,5,0,12.0,196.99,No Churn
714,8.0,7.0,4,Laptop & Accessory,1,Married,1,0,0.0,153.63,No Churn
715,7.0,14.0,4,Laptop & Accessory,3,Married,3,0,9.0,184.68,No Churn
716,8.0,10.0,4,Mobile Phone,5,Divorced,6,0,3.0,148.62,Churn
717,4.0,15.0,2,Fashion,5,Divorced,2,1,8.0,239.16000000000005,No Churn
718,10.0,11.0,1,Mobile,3,Single,1,0,3.0,135.0,No Churn
719,23.0,28.0,5,Grocery,1,Single,2,1,9.0,244.11,No Churn
720,17.0,9.0,4,Laptop & Accessory,1,Married,3,1,9.0,203.47,No Churn
721,6.0,12.0,2,Mobile Phone,4,Married,2,1,6.0,157.98,No Churn
722,5.0,11.0,4,Laptop & Accessory,1,Single,9,0,0.0,196.79,No Churn
723,1.0,8.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,Churn
727,12.0,9.0,4,Mobile Phone,1,Single,7,1,3.0,164.44,No Churn
728,1.0,11.0,5,Laptop & Accessory,2,Single,3,1,5.0,183.28,Churn
730,12.0,15.0,3,Laptop & Accessory,5,Married,2,0,9.0,151.51,No Churn
732,24.0,10.0,4,Others,4,Married,3,0,8.0,307.0,No Churn
734,8.0,7.0,5,Mobile Phone,2,Divorced,3,1,4.0,161.22,No Churn
736,0.0,9.0,3,Mobile,5,Single,2,1,7.0,133.48,Churn
737,16.0,36.0,4,Laptop & Accessory,4,Married,3,0,9.0,169.34,No Churn
738,4.0,8.0,4,Mobile Phone,3,Married,2,0,4.0,145.64,No Churn
739,25.0,9.0,4,Grocery,5,Divorced,2,0,16.0,268.56,No Churn
741,12.0,25.0,6,Laptop & Accessory,1,Married,5,1,1.0,183.11,No Churn
743,7.0,7.0,5,Mobile Phone,5,Single,5,1,3.0,152.99,No Churn
744,2.0,8.0,5,Laptop & Accessory,1,Married,3,1,8.0,193.34,No Churn
745,9.0,14.0,3,Laptop & Accessory,2,Married,5,0,7.0,150.79,No Churn
746,23.0,18.0,4,Laptop & Accessory,1,Single,5,0,5.0,170.07,No Churn
747,1.0,9.0,5,Mobile Phone,1,Single,3,0,1.0,136.02,Churn
749,1.0,18.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,172.41,No Churn
750,1.0,9.0,3,Mobile,4,Married,2,0,0.0,128.56,No Churn
751,1.0,11.0,2,Laptop & Accessory,4,Married,3,1,4.0,186.42,No Churn
752,8.0,9.0,5,Laptop & Accessory,5,Married,8,0,10.0,184.57,No Churn
753,13.0,32.0,3,Laptop & Accessory,5,Divorced,2,0,5.0,183.96,No Churn
754,0.0,6.0,4,Fashion,3,Divorced,6,0,7.0,206.09,Churn
755,22.0,6.0,3,Grocery,3,Single,5,0,0.0,253.79,No Churn
757,0.0,8.0,3,Mobile Phone,3,Married,7,1,2.0,139.77,No Churn
758,0.0,15.0,4,Laptop & Accessory,5,Single,8,0,3.0,134.07,Churn
760,27.0,14.0,3,Laptop & Accessory,3,Single,8,0,0.0,137.8,No Churn
761,4.0,18.0,3,Others,3,Divorced,2,0,8.0,295.45,Churn
762,0.0,22.0,3,Mobile,4,Married,10,0,2.0,128.11,No Churn
763,10.0,13.0,6,Mobile Phone,3,Married,3,0,8.0,152.41,No Churn
764,10.0,21.0,4,Laptop & Accessory,2,Divorced,2,1,12.0,190.86,No Churn
765,20.0,22.0,1,Laptop & Accessory,3,Married,2,1,7.0,150.67,No Churn
766,11.0,16.0,4,Fashion,3,Married,1,1,7.0,187.4,No Churn
767,0.0,8.0,1,Laptop & Accessory,3,Married,2,0,7.0,152.06,No Churn
769,1.0,15.0,4,Laptop & Accessory,4,Married,3,0,8.0,187.14,No Churn
772,1.0,26.0,4,Mobile Phone,1,Married,3,0,3.0,148.23,No Churn
773,9.0,17.0,4,Laptop & Accessory,3,Single,5,1,5.0,186.42,No Churn
774,0.0,8.0,3,Mobile Phone,3,Single,7,0,1.0,143.82,Churn
775,7.0,14.0,3,Laptop & Accessory,3,Single,4,0,3.0,161.42,No Churn
776,10.0,14.0,4,Mobile Phone,4,Single,4,0,4.0,145.13,No Churn
777,24.0,9.0,4,Others,3,Divorced,4,1,8.0,317.37,No Churn
779,1.0,12.0,2,Mobile Phone,4,Married,3,1,3.0,148.28,No Churn
780,5.0,8.0,6,Laptop & Accessory,5,Married,3,0,8.0,175.03,No Churn
781,9.0,16.0,3,Fashion,3,Married,4,0,7.0,170.94,No Churn
782,1.0,24.0,4,Mobile Phone,3,Single,3,1,8.0,148.94,Churn
783,21.0,28.0,3,Grocery,1,Married,4,0,7.0,271.74,No Churn
786,9.0,12.0,1,Laptop & Accessory,5,Married,4,1,2.0,155.62,No Churn
787,1.0,36.0,4,Mobile Phone,5,Married,3,0,3.0,164.07,No Churn
788,10.0,27.0,3,Mobile,1,Married,6,0,0.0,129.73,No Churn
789,0.0,10.0,3,Mobile,5,Single,2,0,0.0,129.73,Churn
791,11.0,7.0,4,Mobile Phone,2,Single,3,0,8.0,146.15,No Churn
792,8.0,12.0,5,Fashion,5,Single,4,0,9.0,241.31,No Churn
793,27.0,8.0,5,Grocery,3,Married,6,1,3.0,254.65,No Churn
794,16.0,11.0,4,Laptop & Accessory,5,Single,9,0,6.0,176.55,No Churn
795,6.0,8.0,3,Laptop & Accessory,1,Married,2,0,4.0,155.05,No Churn
796,11.0,18.0,4,Mobile Phone,3,Single,6,0,3.0,161.29,No Churn
800,15.0,13.0,4,Mobile Phone,5,Single,4,1,18.0,172.21,No Churn
801,12.0,14.0,3,Mobile Phone,3,Married,2,0,7.0,137.55,No Churn
802,8.0,11.0,3,Fashion,4,Single,1,0,13.0,180.95,No Churn
804,16.0,15.0,3,Laptop & Accessory,3,Married,4,1,7.0,156.79,No Churn
805,25.0,14.0,5,Laptop & Accessory,3,Married,4,0,1.0,186.32,No Churn
806,14.0,6.0,3,Laptop & Accessory,5,Married,1,0,7.0,141.03,No Churn
807,3.0,27.0,4,Laptop & Accessory,2,Married,4,0,3.0,194.31,No Churn
808,14.0,17.0,2,Mobile Phone,3,Married,5,1,8.0,147.13,No Churn
809,22.0,17.0,3,Laptop & Accessory,1,Single,4,0,4.0,145.07,No Churn
810,23.0,30.0,3,Grocery,3,Divorced,4,1,5.0,239.73,No Churn
811,6.0,15.0,3,Mobile,2,Divorced,1,0,10.0,127.81,No Churn
812,24.0,27.0,4,Grocery,3,Married,4,1,14.0,237.45,No Churn
814,18.0,29.0,3,Laptop & Accessory,5,Married,2,1,8.0,136.33,No Churn
815,1.0,25.0,4,Mobile,5,Divorced,2,0,3.0,131.96,No Churn
816,10.0,16.0,2,Mobile Phone,4,Married,3,0,3.0,153.1,No Churn
817,9.0,11.0,3,Fashion,5,Married,5,0,2.0,180.08,No Churn
818,0.0,13.0,1,Mobile Phone,5,Single,1,0,7.0,135.78,No Churn
819,31.0,14.0,4,Others,5,Married,7,0,11.0,320.66,No Churn
820,19.0,9.0,5,Grocery,2,Divorced,11,0,9.0,292.92,No Churn
821,4.0,9.0,5,Laptop & Accessory,1,Single,7,1,1.0,193.77,No Churn
822,6.0,31.0,4,Laptop & Accessory,4,Single,2,0,2.0,143.2,No Churn
823,27.0,13.0,4,Laptop & Accessory,3,Married,4,1,6.0,148.06,No Churn
824,4.0,13.0,5,Laptop & Accessory,2,Divorced,2,0,8.0,171.27,No Churn
825,12.0,19.0,5,Laptop & Accessory,5,Married,4,0,3.0,187.88,No Churn
826,20.0,20.0,3,Laptop & Accessory,5,Single,3,0,7.0,149.6,No Churn
827,13.0,10.0,4,Fashion,1,Married,8,0,11.0,208.55,No Churn
828,3.0,9.0,5,Laptop & Accessory,4,Married,4,0,1.0,191.44,No Churn
829,17.0,11.0,3,Others,4,Divorced,8,0,10.0,282.13,No Churn
830,13.0,6.0,3,Laptop & Accessory,1,Married,5,0,3.0,165.13,No Churn
831,1.0,9.0,4,Mobile Phone,5,Divorced,8,1,3.0,145.42,Churn
